"id","__typename","createdAt","dateType","edRelation","laws","name","registrationDeadlineType","time","updatedAt","updater"
"54f92677-9f2f-4d37-acc2-39136613d083","State","2022-01-23T09:52:39.198Z","Post Received by","ED - 21","","DistrictofColumbia","Domestic Registration Deadline","","2022-01-23T09:52:39.198Z",""
"2347a917-d025-43a3-8885-bbbea9df2124","State","2022-01-23T09:52:39.198Z","Blank","ED - 12","'-(2) At each early voting center, the Board shall allow persons to vote in person for not more than 10 days before election day; provided, that no early voting shall occur on a holiday.(1–1001.09)","DistrictofColumbia","Early Voting From","7:00 AM","2022-01-23T09:52:39.198Z",""
"ad8c647a-03f6-40e4-b631-fa0d4bcf1168","State","2022-01-23T09:52:41.140Z","Received by","ED - 11","","Utah","Overseas Registration Deadline","","2022-01-23T09:52:41.140Z",""
"6a66b9e7-f952-4a22-ab33-6129bdbb4ebc","State","2022-01-23T09:52:41.276Z","Blank","ED - 30","","VirginIslands","Domestic Registration Deadline","","2022-01-23T09:52:41.276Z",""
"1a47d7a2-6a68-4b05-bdf1-8616c273e600","State","2022-01-23T09:52:39.792Z","In-Person","ED","'-(b) Upon receipt of the ballot the elector shall mark it, sign the return identification envelope supplied with the ballot and comply with the instructions provided with the ballot. The elector may return the marked ballot to the county election officer by United States mail, if it is received by the county election officer by the date of the election, or personally deliver the ballot to the office of the county election officer before noon on the date of the election. The ballot shall be returned in the return identification envelope. The county election officer shall provide for the payment of postage for the return of ballot envelopes.(25-433.)","Kansas","Domestic Ballot Return Deadline","12:00 PM","2022-01-23T09:52:39.792Z",""
"e27e8595-e5e9-413f-871a-f1672966fa30","State","2022-01-23T09:52:40.388Z","Postmarked by","ED - 30","(2) The following procedure shall be used in the registration of electors by mail:
(a) Any qualified elector may register to vote by mailing or delivering a completed mail-in application to his or her county registrar at least thirty (30) days before any election; however, if the thirtieth day to register before an election falls on a Sunday or legal holiday, the registration applications submitted on the business day immediately following the Sunday or legal holiday shall be accepted and entered into the Statewide Elections Management System for the purpose of enabling voters to vote in the next election. The postmark date of a mailed application shall be the applicant's date of registration.(§ 23-15-47)","Mississippi","Domestic Registration Deadline","","2022-01-23T09:52:40.388Z",""
"96bdb31d-4824-4a20-a990-4e1d54338968","State","2022-01-23T09:52:39.310Z","Postmarked by","ED - 29","","Florida","Overseas Registration Deadline","","2022-01-23T09:52:39.310Z",""
"639d3ea5-99d4-462c-852b-1b7d562ad44a","State","2022-01-23T09:52:41.183Z","Blank","ED - 14","","Wyoming","Domestic Registration Deadline","","2022-01-23T09:52:41.183Z",""
"00f295a1-ffce-4553-98e8-e7ddfadb4372","State","2022-01-23T09:52:41.250Z","Received by","ED","","Wyoming","Overseas Ballot Return Deadline","7:00 PM","2022-01-23T09:52:41.250Z",""
"9ca6bf0d-6710-4aeb-8d59-074d5929ae53","State","2022-01-23T09:52:39.608Z","Postmarked by","ED","Ballots voted under this Section must be returned postmarked no later than election day and received for counting at the central ballot counting location of the election authority during the period for counting provisional ballots, the last day of which is the 14th day following election day.(Sec. 20-2)","Illinois","Military Ballot Return Deadline","","2022-01-23T09:52:39.608Z",""
"59703074-f776-4578-8ed5-643651f53d7b","State","2022-01-23T09:52:40.682Z","Varies by Locality","","","NewHampshire","Domestic Registration Deadline","","2022-01-23T09:52:40.682Z",""
"71b2697e-f04e-4cd2-a3aa-80240a5156f2","State","2022-01-23T09:52:39.598Z","Post Received by","ED + 3","","Georgia","Overseas Ballot Return Deadline","5:00 PM","2022-01-23T09:52:39.598Z",""
"12d12f2a-1657-43a0-9060-6f2e9b04cbf9","State","2022-01-23T09:52:40.002Z","Online by","ED - 20","","Louisiana","Domestic Registration Deadline","","2022-01-23T09:52:40.002Z",""
"3b7aadea-8be1-47e4-8965-d349588862ab","State","2022-01-23T09:52:40.388Z","Postmarked by","ED","To be valid, a military-overseas ballot shall be received by the appropriate local election official not later than the close of the polls, or the voter shall submit the ballot for mailing, or other authorized means of delivery not later than 12:01 a.m., at the place where the voter completes the ballot, on the date of the election.(115.916)","Missouri","Overseas Ballot Return Deadline","","2022-01-23T09:52:40.388Z",""
"c6480378-5e10-41a6-9d96-e3169b019c1f","State","2022-01-23T09:52:38.588Z","Post Received by","ED","(a) No absentee ballot shall be opened or counted if received by the absentee election manager by mail, unless postmarked as of the date prior to the day of the election and received by mail no later than noon on the day of election, or, if received by the absentee election manager by hand delivery, unless so delivered by the voter or medical emergency designee to the absentee election manager not later than the close of the last business day next preceding the election or, if delivered by the medical emergency designee, by noon on the day of the election.(Section 17-9-51)","Alabama","Domestic Ballot Return Deadline","12:00 PM","2022-01-23T09:52:38.588Z",""
"fa996a01-8f69-4767-a3ae-974308155361","State","2022-01-23T09:52:38.706Z","Blank","ED","'-(a) For 15 days before an election and on election day, a qualified voter who meets the requirements set out in this section may vote in locations designated by the director.(Sec. 15.20.064)","Alaska","Early Voting To","","2022-01-23T09:52:38.706Z",""
"7b024590-f42e-4256-a561-f4f38206d73c","State","2022-01-23T09:52:40.185Z","Blank","ED - 75","While some states allow all voters to cast ballots prior to Election Day, Michigan does not have early voting. Of course, qualified Michigan voters can cast absentee ballots prior to Election Day (Source: Depart of State). (1) At any time during the 75 days before a primary or special primary, but not later than 2 p.m. of the Saturday immediately before the primary or special primary, an elector who qualifies to vote as an absent voter, as defined in section 758, may apply for an absent voter ballot. (168.759 Sec. 759.)","Michigan","In-Person Absentee from","","2022-01-23T09:52:40.185Z",""
"842e644f-298e-491e-99d2-ecc76b7550fb","State","2022-01-23T09:52:40.396Z","Received by","ED","","Montana","Overseas Registration Deadline","8:00 PM","2022-01-23T09:52:40.396Z",""
"b73be5c3-cea5-474a-a3b1-5ea29138dc6d","State","2022-01-23T09:52:40.383Z","Post Received by","ED+ 3","A valid military-overseas ballot cast in accordance with section 115.916 shall be counted if it is received before noon on the Friday after election day so that certification under section 115.508* may commence. (115.920)","Missouri","Overseas Ballot Return Deadline","12:00 PM","2022-01-23T09:52:40.383Z",""
"4dcbdcd4-14e8-498d-af1e-191bdd4c959f","State","2022-01-23T09:52:41.372Z","Postmarked by","ED","","Guam","Domestic Ballot Return Deadline","","2022-01-23T09:52:41.372Z",""
"c0a7c3bd-eddd-4edd-8327-6fa3e6e21602","State","2022-01-23T09:52:40.720Z","In- Person Request by","ED - 1","","NewYork","Domestic Ballot Request Deadline","","2022-01-23T09:52:40.720Z",""
"568f77dd-f43e-45ae-b118-c1cb1e0343a1","State","2022-01-23T09:52:39.613Z","Received by","ED","A valid military-overseas ballot shall be counted if it is received by the close of the polls on the day of the election and meets the requirements prescribed under section 15-9.(15D-10)","Hawaii","Overseas Ballot Return Deadline","7:00 PM","2022-01-23T09:52:39.613Z",""
"2e3194c8-9b40-407e-b788-60ccbd40af15","State","2022-01-23T09:52:39.368Z","Blank","Friday before ED","(d)  (1) There shall be a period of advance voting that shall commence:
(A)  On the fourth Monday immediately prior to each primary or election;and shall end on the Friday immediately prior to each primary, election, or runoff.(1-2-385)","Georgia","Early Voting To","","2022-01-23T09:52:39.368Z",""
"9b483062-cc8b-45bb-a518-d18e6d45d8b3","State","2022-01-23T09:52:41.043Z","Post Received by","ED + 1 (PE)","","SouthCarolina","Overseas Ballot Return Deadline","","2022-01-23T09:52:41.043Z",""
"f3a501aa-7463-44fd-b01c-e9c5e832d302","State","2022-01-23T09:52:40.701Z","Postmarked by","ED","Absentee  ballots;  deadline  for  receipt, and delivery to polling place. 1. The  board  of  elections  shall  cause  all  absentee ballots received by it before the close of the polls on election day and all  ballots  contained  in envelope showing a cancellation mark of the United States postal service or a foreign country's postal  service,  or showing  a  dated endorsement of receipt by another agency of the United States government, with a date which is ascertained to be not later than the day before election and received by  such  board  of  elections  not later  than  seven  days  following  the  day of election to be cast and counted except that the absentee ballot of a voter  who  requested  such ballot by letter, rather than application, shall not be counted unless a valid  application  form, signed by such voter, is received by the board of elections with such ballot. ( 8-412. )","NewYork","Domestic Ballot Return Deadline","","2022-01-23T09:52:40.701Z",""
"6ca70e79-d480-464e-98e0-a78e00f5b643","State","2022-01-23T09:52:40.382Z","Blank","ED - 1","(a) Except as otherwise allowed by subdivision 2 or by section 203B.11, subdivision 4, an application for absentee ballots for any election may be submitted at any time not less than one day before the day of that election.(203B.04)","Minnesota","Domestic Ballot Request Deadline","","2022-01-23T09:52:40.382Z",""
"21f9bb11-42d3-4c69-98ac-dbf81fdd4163","State","2022-01-23T09:52:39.601Z","Postmarked by","ED","APPLICATION FORM FOR VOTE BY MAIL BALLOT “I hereby make application for an official ballot or ballots to be voted by me at such election, and I agree that I shall return such ballot or ballots to the official issuing the same prior to the closing of the polls on the date of the election or, if returned by mail, postmarked no later than election day, for counting no later than during the period for counting provisional ballots, the last day of which is the 14th day following election day”.(Sec. 19-3)","Illinois","Domestic Ballot Return Deadline","","2022-01-23T09:52:39.601Z",""
"77d4510b-8ef3-4100-a078-09ca14ff5a0a","State","2022-01-23T09:52:40.012Z","Blank","ED - 30","A.(1) Registrars shall close the registration records thirty days prior to an election. However, if the deadline falls on a legal holiday, the registrars shall close the registration records on the first day after such holiday which is not a Saturday, Sunday, or other legal holiday.
(§135.)","Louisiana","Domestic Registration Deadline","","2022-01-23T09:52:40.012Z",""
"3fab6147-a40b-421e-bd30-55119082432e","State","2022-01-23T09:52:40.399Z","In-Person (general and primaries)","ED - 30","","Nebraska","Early Voting From","","2022-01-23T09:52:40.399Z",""
"48615bd7-7041-45a6-be73-5df13da1a3ab","State","2022-01-23T09:52:39.596Z","Blank","ED - 7","(a) Any person registered to vote may request an absentee ballot or permanent absentee ballot in person or in writing from the clerk at any time but not later than 4:30 p.m. on the seventh day prior to the election.(15-4)","Hawaii","Domestic Ballot Request Deadline","4:30 PM","2022-01-23T09:52:39.596Z",""
"7a08f21b-0f8e-4d76-ad1f-a41454673d2b","State","2022-01-23T09:52:39.590Z","Received by","4th Friday before ED","(c)Mail voter registration applications shall be deemed to have been made as of the date of the postmark affixed to such application by the United States Postal Service or, if no such postmark is affixed or if the postmark affixed by the United States Postal Service is illegible or bears no date, such application shall be deemed to have been made timely if received through the United States mail by the Secretary of State no later than the close of business on the fourth Friday prior to a general primary, general election, presidential preference primary, or special primary or special election held in conjunction with a general primary, general election, or presidential preference primary or special primary or special election.(21-2-224).","Georgia","Overseas Registration Deadline","","2022-01-23T09:52:39.590Z",""
"9e676b0d-e005-4239-bd5b-420fa3d56fb3","State","2022-01-23T09:52:38.741Z","","No early voting: excuse required for absentee","","Alabama","Early Voting From","","2022-01-23T09:52:38.741Z",""
"44f261ff-46d2-430b-a38a-fdfafd94f768","State","2022-01-23T09:52:39.193Z","Postmarked by","3rd Monday before ED","","Delaware","Overseas Registration Deadline","","2022-01-23T09:52:39.193Z",""
"f655fd61-4829-40c9-87c1-2142162d4af7","State","2022-01-23T09:52:41.278Z","Received by","ED - 3","","Guam","Overseas Ballot Request Deadline","5:00 PM","2022-01-23T09:52:41.278Z",""
