state,registrationDeadlineType,dateType,edRelation,time,laws,updateLegal,updateNotes,
Alabama,Domestic Ballot Return Deadline,Postmarked by,ED - 1,,"(a) No absentee ballot shall be opened or counted if received by the absentee election manager by mail, unless postmarked as of the date prior to the day of the election and received by mail no later than noon on the day of election, or, if received by the absentee election manager by hand delivery, unless so delivered by the voter or medical emergency designee to the absentee election manager not later than the close of the last business day next preceding the election or, if delivered by the medical emergency designee, by noon on the day of the election.(Section 17-9-51)",Old statute; new statute = § 17-11-18(a). Text is the same.,,
Alabama,Domestic Ballot Return Deadline,Post Received by,ED,12:00 PM,"(a) No absentee ballot shall be opened or counted if received by the absentee election manager by mail, unless postmarked as of the date prior to the day of the election and received by mail no later than noon on the day of election, or, if received by the absentee election manager by hand delivery, unless so delivered by the voter or medical emergency designee to the absentee election manager not later than the close of the last business day next preceding the election or, if delivered by the medical emergency designee, by noon on the day of the election.(Section 17-9-51)",See above.,,
Alabama,Domestic Ballot Return Deadline,In-Person Received by,ED - 1,,,See above.,,
Alabama,Domestic Ballot Return Deadline,Hand Delivered by,ED - 1,,,See above.,,
Alabama,Domestic Ballot Request Deadline,In-Person Received by,ED - 5,,"-(a) Any qualified elector of this state may apply for and vote an absentee ballot by mail or by hand delivery, as provided in Sections 17-11-5 and 17-11-9, in any primary, general, special, or municipal election, if he or she makes application in writing therefor not less than five days prior to the election in which he or she desires to vote.(Section 17-11-3)",Same,,
Alabama,Domestic Ballot Request Deadline,Post Received by,ED - 7,,,,,
Alabama,Domestic Registration Deadline,Blank,ED - 15,,"The boards of registrars in the several counties of the state shall not register any person as a qualified elector within 14 days prior to any election; provided, that the boards shall maintain open offices during business days in such 14-day period and on election day during the hours of voting.(Section 17-3-50)",Same,,
Alabama,Early Voting From,,No early voting: excuse required for absentee,,,,,
Alabama,Early Voting To,,No early voting: excuse required for absentee,,,,,
Alabama,Military Ballot Return Deadline,Postmarked by,ED,,,,,
Alabama,Military Ballot Return Deadline,Post Received by,ED+7,,,,,
Alabama,Overseas Ballot Return Deadline,Blank,ED - 1,,,See below,,
Alabama,Overseas Ballot Return Deadline,Received by,ED + 7,,"(b) The above provision does not apply in the case of individuals voting absentee pursuant to the Uniformed and Overseas Citizens Absentee Voting Act (UOCAVA), 42 U.S.C. 1973ff et seq., when those individuals are voting in a primary, second primary, general, or special election for a federal, state, or county office or proposed constitutional amendment or other referenda. In the case of UOCAVA voters voting absentee in a primary, second primary, general, or special election for a federal, state, or county office or proposed constitutional amendment or other referenda, no absentee ballot shall be opened or counted, if received by the absentee election manager by mail, unless postmarked as of the day of the primary, second primary, general, or special election and received by mail no later than noon seven days after the primary, second primary, general, or special election.(Section 17-9-51)",Old statute; new statute = § 17-11-18(b). Text is the same.,,
Alabama,Overseas Ballot Return Deadline,Postmarked by,ED,12:00 PM,"(b) The above provision does not apply in the case of individuals voting absentee pursuant to the Uniformed and Overseas Citizens Absentee Voting Act (UOCAVA), 42 U.S.C. 1973ff et seq., when those individuals are voting in a primary, second primary, general, or special election for a federal, state, or county office or proposed constitutional amendment or other referenda. In the case of UOCAVA voters voting absentee in a primary, second primary, general, or special election for a federal, state, or county office or proposed constitutional amendment or other referenda, no absentee ballot shall be opened or counted, if received by the absentee election manager by mail, unless postmarked as of the day of the primary, second primary, general, or special election and received by mail no later than noon seven days after the primary, second primary, general, or special election.(Section 17-9-51)",See above,,
